frame_no,old_axis,old_origin,new_axis,new_origin,axis_difference (deg)
1050,"[0.00740091384028041, 0.004004215924986454, 0.0038748576500013954]","[12.095189758563894, 16.50247289892916, 4.79686774488889]",[1.16062507 0.11897819 1.        ],"[12.095189758563894, 16.50247289892916, 4.79686774488889]",24.621890472245216
1060,"[0.004262510133331787, 0.010412711968058375, 0.016964600545831487]","[12.087788844723613, 16.498468683004173, 4.7929928872388885]",[1.1683003  0.12797024 1.        ],"[12.087788844723613, 16.498468683004173, 4.7929928872388885]",42.18384495854218
1070,"[0.015332692166674988, 0.0032857224138922447, 0.00043468877361441116]","[12.083526334590282, 16.488055971036115, 4.776028286693057]",[1.16758151 0.13904924 1.        ],"[12.083526334590282, 16.488055971036115, 4.776028286693057]",39.089193266839715
1080,"[0.022312527455547126, -0.004351800211104262, -0.017470015995835197]","[12.068193642423607, 16.484770248622223, 4.775593597919443]",[1.15644875 0.14073545 1.        ],"[12.068193642423607, 16.484770248622223, 4.775593597919443]",79.89794805488337
1090,"[0.025647026390283045, -0.005610334681954043, -1.4464769447997128e-05]","[12.04588111496806, 16.489122048833327, 4.793063613915278]",[1.16093715 0.14969111 1.        ],"[12.04588111496806, 16.489122048833327, 4.793063613915278]",44.313757598439324
1100,"[0.0018803536555545008, -0.011679184316669478, 0.0014558704222267238]","[12.020234088577777, 16.49473238351528, 4.793078078684726]",[1.15447554 0.15433986 1.        ],"[12.020234088577777, 16.49473238351528, 4.793078078684726]",84.2783627908567
1110,"[0.022435843866661642, -0.009920733329156661, -0.003307657354169713]","[12.018353734922222, 16.50641156783195, 4.791622208262499]",[1.14204205 0.16709995 1.        ],"[12.018353734922222, 16.50641156783195, 4.791622208262499]",56.87558531198652
1120,"[0.01744615592639498, -0.0046879119305600625, -0.012710120543052206]","[11.99591789105556, 16.516332301161107, 4.794929865616669]",[1.13181318 0.17428485 1.        ],"[11.99591789105556, 16.516332301161107, 4.794929865616669]",79.32827587131044
1130,"[0.03344414046805433, 0.0017372045847210416, -0.0041750721069462315]","[11.978471735129165, 16.521020213091667, 4.807639986159721]",[1.11711538 0.18018288 1.        ],"[11.978471735129165, 16.521020213091667, 4.807639986159721]",48.90501828887086
1140,"[0.014383420490283072, -0.0003469867638905555, -0.002722479124998678]","[11.945027594661111, 16.519283008506946, 4.811815058266667]",[1.11397344 0.17619083 1.        ],"[11.945027594661111, 16.519283008506946, 4.811815058266667]",53.142132370836514
